Name,Type1,Type2,EvoStage,FullyEvolved,Gen,BaseStatTotal,BestStat
Volbeat,Bug,None,1,true,3,430,Special-defense
Illumise,Bug,None,1,true,3,430,Special-defense
Roselia,Grass,Poison,2,false,3,400,Special-attack
Gulpin,Poison,None,1,false,3,302,Hp
Swalot,Poison,None,2,true,3,467,Hp
Carvanha,Water,Dark,1,false,3,305,Attack
Sharpedo,Water,Dark,2,true,3,460,Attack
Wailmer,Water,None,1,false,3,400,Hp
Wailord,Water,None,2,true,3,500,Hp
Numel,Fire,Ground,1,false,3,305,Special-attack
Camerupt,Fire,Ground,2,true,3,460,Special-attack
Torkoal,Fire,None,1,true,3,470,Defense
Spoink,Psychic,None,1,false,3,330,Special-defense
Grumpig,Psychic,None,2,true,3,470,Special-defense
Spinda,Normal,None,1,true,3,360,Hp
Trapinch,Ground,None,1,false,3,290,Attack
Vibrava,Ground,Dragon,2,false,3,340,Attack
Flygon,Ground,Dragon,3,true,3,520,Attack
Cacnea,Grass,None,1,false,3,335,Attack
Cacturne,Grass,Dark,2,true,3,475,Attack
Swablu,Normal,Flying,1,false,3,310,Special-defense
Altaria,Dragon,Flying,2,true,3,490,Special-defense
Zangoose,Normal,None,1,true,3,458,Attack
Seviper,Poison,None,1,true,3,458,Attack
Lunatone,Rock,Psychic,1,true,3,460,Special-attack
Solrock,Rock,Psychic,1,true,3,460,Attack
Barboach,Water,Ground,1,false,3,288,Speed
Whiscash,Water,Ground,2,true,3,468,Hp
Corphish,Water,None,1,false,3,308,Attack
Crawdaunt,Water,Dark,2,true,3,468,Attack
Baltoy,Ground,Psychic,1,false,3,300,Special-defense
Claydol,Ground,Psychic,2,true,3,500,Special-defense
Lileep,Rock,Grass,1,false,3,355,Special-defense
Cradily,Rock,Grass,2,true,3,495,Special-defense
Anorith,Rock,Bug,1,false,3,355,Attack
Armaldo,Rock,Bug,2,true,3,495,Attack
Feebas,Water,None,1,false,3,200,Speed
Milotic,Water,None,2,true,3,540,Special-defense
Castform,Normal,None,1,true,3,420,Hp
Kecleon,Normal,None,1,true,3,440,Special-defense
Shuppet,Ghost,None,1,false,3,295,Attack
Banette,Ghost,None,2,true,3,455,Attack
Duskull,Ghost,None,1,false,3,295,Defense
Dusclops,Ghost,None,2,false,3,455,Defense
Tropius,Grass,Flying,1,true,3,460,Hp
Chimecho,Psychic,None,2,true,3,455,Special-attack
Absol,Dark,None,1,true,3,465,Attack
Wynaut,Psychic,None,1,false,3,260,Hp
Snorunt,Ice,None,1,false,3,300,Hp
Glalie,Ice,None,2,true,3,480,Hp
Spheal,Ice,Water,1,false,3,290,Hp
Sealeo,Ice,Water,2,false,3,410,Hp
Walrein,Ice,Water,3,true,3,530,Hp
Clamperl,Water,None,1,false,3,345,Defense
Huntail,Water,None,2,true,3,485,Defense
Gorebyss,Water,None,2,true,3,485,Special-attack
Relicanth,Water,Rock,1,true,3,485,Defense
Luvdisc,Water,None,1,true,3,330,Speed
Bagon,Dragon,None,1,false,3,300,Attack
Shelgon,Dragon,None,2,false,3,420,Defense
Salamence,Dragon,Flying,3,true,3,600,Attack
Beldum,Steel,Psychic,1,false,3,300,Defense
Metang,Steel,Psychic,2,false,3,420,Defense
Metagross,Steel,Psychic,3,true,3,600,Attack
Regirock,Rock,None,1,true,3,580,Defense
Regice,Ice,None,1,true,3,580,Special-defense
Registeel,Steel,None,1,true,3,580,Defense
Latias,Dragon,Psychic,1,true,3,600,Special-defense
Latios,Dragon,Psychic,1,true,3,600,Special-attack
Kyogre,Water,None,1,true,3,670,Special-attack
Groudon,Ground,None,1,true,3,670,Attack
Rayquaza,Dragon,Flying,1,true,3,680,Attack
Jirachi,Steel,Psychic,1,true,3,600,Hp
Deoxys-normal,Psychic,None,1,true,3,600,Attack
Turtwig,Grass,None,1,false,4,318,Attack
Grotle,Grass,None,2,false,4,405,Attack
Torterra,Grass,Ground,3,true,4,525,Attack
Chimchar,Fire,None,1,false,4,309,Speed
Monferno,Fire,Fighting,2,false,4,405,Speed
Infernape,Fire,Fighting,3,true,4,534,Speed
Piplup,Water,None,1,false,4,314,Special-attack
Prinplup,Water,None,2,false,4,405,Special-attack
Empoleon,Water,Steel,3,true,4,530,Special-attack
Starly,Normal,Flying,1,false,4,245,Speed
Staravia,Normal,Flying,2,false,4,340,Speed
Staraptor,Normal,Flying,3,true,4,485,Attack
Bidoof,Normal,None,1,false,4,250,Hp
Bibarel,Normal,Water,2,true,4,410,Attack
Kricketot,Bug,None,1,false,4,194,Defense
Kricketune,Bug,None,2,true,4,384,Attack
Shinx,Electric,None,1,false,4,263,Attack
Luxio,Electric,None,2,false,4,363,Attack
Luxray,Electric,None,3,true,4,523,Attack
Budew,Grass,Poison,1,false,4,280,Special-defense
Roserade,Grass,Poison,3,true,4,515,Special-attack
Cranidos,Rock,None,1,false,4,350,Attack
Rampardos,Rock,None,2,true,4,495,Attack
Shieldon,Rock,Steel,1,false,4,350,Defense
Bastiodon,Rock,Steel,2,true,4,495,Defense
Burmy,Bug,None,1,false,4,224,Defense
Wormadam-plant,Bug,Grass,1,true,4,424,Special-defense
Mothim,Bug,Flying,2,true,4,424,Attack
Combee,Bug,Flying,1,false,4,244,Speed
Vespiquen,Bug,Flying,2,true,4,474,Defense
Pachirisu,Electric,None,1,true,4,405,Speed
Buizel,Water,None,1,false,4,330,Speed
Floatzel,Water,None,2,true,4,495,Speed
Cherubi,Grass,None,1,false,4,275,Special-attack
Cherrim,Grass,None,2,true,4,450,Special-attack
Shellos,Water,None,1,false,4,325,Hp
Gastrodon,Water,Ground,2,true,4,475,Hp
Ambipom,Normal,None,2,true,4,482,Speed
Drifloon,Ghost,Flying,1,false,4,348,Hp
Drifblim,Ghost,Flying,2,true,4,498,Hp
Buneary,Normal,None,1,false,4,350,Speed
Lopunny,Normal,None,2,true,4,480,Speed
Mismagius,Ghost,None,2,true,4,495,Special-attack
Honchkrow,Dark,Flying,2,true,4,505,Attack
Glameow,Normal,None,1,false,4,310,Speed
Purugly,Normal,None,2,true,4,452,Speed
Chingling,Psychic,None,1,false,4,285,Special-attack
Stunky,Poison,Dark,1,false,4,329,Speed
Skuntank,Poison,Dark,2,true,4,479,Hp
Bronzor,Steel,Psychic,1,false,4,300,Defense
Bronzong,Steel,Psychic,2,true,4,500,Defense
Bonsly,Rock,None,1,false,4,290,Defense
Mime-jr,Psychic,Fairy,1,false,4,310,Special-defense
Happiny,Normal,None,1,false,4,220,Hp
Chatot,Normal,Flying,1,true,4,411,Special-attack
Spiritomb,Ghost,Dark,1,true,4,485,Defense
Gible,Dragon,Ground,1,false,4,300,Attack
Gabite,Dragon,Ground,2,false,4,410,Attack
Garchomp,Dragon,Ground,3,true,4,600,Attack
Munchlax,Normal,None,1,false,4,390,Hp
Riolu,Fighting,None,1,false,4,285,Attack
Lucario,Fighting,Steel,2,true,4,525,Special-attack
Hippopotas,Ground,None,1,false,4,330,Defense
Hippowdon,Ground,None,2,true,4,525,Defense
Skorupi,Poison,Bug,1,false,4,330,Defense
Drapion,Poison,Dark,2,true,4,500,Defense
Croagunk,Poison,Fighting,1,false,4,300,Attack
Toxicroak,Poison,Fighting,2,true,4,490,Attack
Carnivine,Grass,None,1,true,4,454,Attack
Finneon,Water,None,1,false,4,330,Speed
Lumineon,Water,None,2,true,4,460,Speed
Mantyke,Water,Flying,1,false,4,345,Special-defense
Snover,Grass,Ice,1,false,4,334,Attack
Abomasnow,Grass,Ice,2,true,4,494,Attack
Weavile,Dark,Ice,2,true,4,510,Speed
Magnezone,Electric,Steel,3,true,4,535,Special-attack
Lickilicky,Normal,None,2,true,4,515,Hp
Rhyperior,Ground,Rock,3,true,4,535,Attack
Tangrowth,Grass,None,2,true,4,535,Defense
Electivire,Electric,None,3,true,4,540,Attack
Magmortar,Fire,None,3,true,4,540,Special-attack
Togekiss,Fairy,Flying,3,true,4,545,Special-attack
Yanmega,Bug,Flying,2,true,4,515,Special-attack
Leafeon,Grass,None,2,true,4,525,Defense
Glaceon,Ice,None,2,true,4,525,Special-attack
Gliscor,Ground,Flying,2,true,4,510,Defense
Mamoswine,Ice,Ground,3,true,4,530,Attack
Porygon-z,Normal,None,3,true,4,535,Special-attack
Gallade,Psychic,Fighting,3,true,4,518,Attack
Probopass,Rock,Steel,2,true,4,525,Special-defense
Dusknoir,Ghost,None,3,true,4,525,Defense
Froslass,Ice,Ghost,2,true,4,480,Speed
Rotom,Electric,Ghost,1,true,4,440,Special-attack
Uxie,Psychic,None,1,true,4,580,Defense
Mesprit,Psychic,None,1,true,4,580,Attack
Azelf,Psychic,None,1,true,4,580,Attack
Dialga,Steel,Dragon,1,true,4,680,Special-attack
Palkia,Water,Dragon,1,true,4,680,Special-attack
Heatran,Fire,Steel,1,true,4,600,Special-attack
Regigigas,Normal,None,1,true,4,670,Attack
Giratina-altered,Ghost,Dragon,1,true,4,680,Hp
Cresselia,Psychic,None,1,true,4,580,Hp
Phione,Water,None,1,false,4,480,Hp
Manaphy,Water,None,2,true,4,600,Hp
Darkrai,Dark,None,1,true,4,600,Special-attack
Shaymin-land,Grass,None,1,true,4,600,Hp
Arceus,Normal,None,1,true,4,720,Hp
Victini,Psychic,Fire,1,true,5,600,Hp
Snivy,Grass,None,1,false,5,308,Speed
Servine,Grass,None,2,false,5,413,Speed
Serperior,Grass,None,3,true,5,528,Speed
Tepig,Fire,None,1,false,5,308,Hp
Pignite,Fire,Fighting,2,false,5,418,Attack
Emboar,Fire,Fighting,3,true,5,528,Attack
Oshawott,Water,None,1,false,5,308,Special-attack
Dewott,Water,None,2,false,5,413,Special-attack
Samurott,Water,None,3,true,5,528,Special-attack
Patrat,Normal,None,1,false,5,255,Attack
Watchog,Normal,None,2,true,5,420,Attack
Lillipup,Normal,None,1,false,5,275,Attack
Herdier,Normal,None,2,false,5,370,Attack
Stoutland,Normal,None,3,true,5,500,Attack
Purrloin,Dark,None,1,false,5,281,Speed
Liepard,Dark,None,2,true,5,446,Speed
Pansage,Grass,None,1,false,5,316,Speed
Simisage,Grass,None,2,true,5,498,Speed
Pansear,Fire,None,1,false,5,316,Speed
Simisear,Fire,None,2,true,5,498,Speed
Panpour,Water,None,1,false,5,316,Speed
Simipour,Water,None,2,true,5,498,Speed
Munna,Psychic,None,1,false,5,292,Hp
Musharna,Psychic,None,2,true,5,487,Hp
Pidove,Normal,Flying,1,false,5,264,Attack
Tranquill,Normal,Flying,2,false,5,358,Attack
Unfezant,Normal,Flying,3,true,5,488,Attack
Blitzle,Electric,None,1,false,5,295,Speed
Zebstrika,Electric,None,2,true,5,497,Speed
Roggenrola,Rock,None,1,false,5,280,Defense
Boldore,Rock,None,2,false,5,390,Attack
Gigalith,Rock,None,3,true,5,515,Attack
Woobat,Psychic,Flying,1,false,5,323,Speed
Swoobat,Psychic,Flying,2,true,5,425,Speed
Drilbur,Ground,None,1,false,5,328,Attack
Excadrill,Ground,Steel,2,true,5,508,Attack
Audino,Normal,None,1,true,5,445,Hp
Timburr,Fighting,None,1,false,5,305,Attack
Gurdurr,Fighting,None,2,false,5,405,Attack
Conkeldurr,Fighting,None,3,true,5,505,Attack
Tympole,Water,None,1,false,5,294,Speed
Palpitoad,Water,Ground,2,false,5,384,Hp
Seismitoad,Water,Ground,3,true,5,509,Hp
Throh,Fighting,None,1,true,5,465,Hp
Sawk,Fighting,None,1,true,5,465,Attack
Sewaddle,Bug,Grass,1,false,5,310,Defense
Swadloon,Bug,Grass,2,false,5,380,Defense
Leavanny,Bug,Grass,3,true,5,500,Attack
Venipede,Bug,Poison,1,false,5,260,Defense
Whirlipede,Bug,Poison,2,false,5,360,Defense
Scolipede,Bug,Poison,3,true,5,485,Speed
Cottonee,Grass,Fairy,1,false,5,280,Speed
Whimsicott,Grass,Fairy,2,true,5,480,Speed
Petilil,Grass,None,1,false,5,280,Special-attack
Lilligant,Grass,None,2,true,5,480,Special-attack
Basculin-red-striped,Water,None,1,true,5,460,Speed
Sandile,Ground,Dark,1,false,5,292,Attack
Krokorok,Ground,Dark,2,false,5,351,Attack
